Computer timestamp [um],ImagePath,Top left Screen Xcoord Pixel,Top left Screen Ycoord Pixel,Top right Screen Xcoord Pixel,TopRightY_Pixels,BottomRightX_Pixels,BottomRightY_Pixels,BottomLeftX_Pixels,Bottom left Screen Ycoord Pixel,GazeX_ImagePixels,GazeY_ImagePixels
7139326164,E:\For LLM Study\15468-a-1-1.svs,-13921.691954022988,0.0,67169.69195402299,0.0,67169.69195402299,49152.0,-13921.691954022988,49152.0,-25682.309442357473,5857.21699039427
7139437164,E:\For LLM Study\15468-a-1-1.svs,-13921.691954022988,0.0,67169.69195402299,0.0,67169.69195402299,49152.0,-13921.691954022988,49152.0,-25660.01440679838,5961.974653458541
7139547800,E:\For LLM Study\15468-a-1-1.svs,-13921.691954022988,0.0,67169.69195402299,0.0,67169.69195402299,49152.0,-13921.691954022988,49152.0,-25360.965354482523,6568.695580737138
7139656856,E:\For LLM Study\15468-a-1-1.svs,-13921.691954022988,0.0,67169.69195402299,0.0,67169.69195402299,49152.0,-13921.691954022988,49152.0,-24801.214337078214,7771.266467817522
7139769225,E:\For LLM Study\15468-a-1-1.svs,-8702.038314176245,0.0,25086.038314176243,0.0,25086.038314176243,20480.0,-8702.038314176245,20480.0,-22701.000462866195,8416.552261410914
7139880128,E:\For LLM Study\15468-a-1-1.svs,-8702.038314176245,0.0,25086.038314176243,0.0,25086.038314176243,20480.0,-8702.038314176245,20480.0,-6010.5294173825605,12435.05614150966
7139991117,E:\For LLM Study\15468-a-1-1.svs,-8702.038314176245,0.0,25086.038314176243,0.0,25086.038314176243,20480.0,-8702.038314176245,20480.0,1078.070341960687,14096.470136763583
7140100214,E:\For LLM Study\15468-a-1-1.svs,-8702.038314176245,0.0,25086.038314176243,0.0,25086.038314176243,20480.0,-8702.038314176245,20480.0,8761.393799237267,16155.42369064413
7140210805,E:\For LLM Study\15468-a-1-1.svs,-8702.038314176245,0.0,25086.038314176243,0.0,25086.038314176243,20480.0,-8702.038314176245,20480.0,18351.05580023068,19129.846034872324
7140321835,E:\For LLM Study\15468-a-1-1.svs,-8702.038314176245,0.0,25086.038314176243,0.0,25086.038314176243,20480.0,-8702.038314176245,20480.0,28272.19536816278,23121.036595316087
